Category,Question,Answer
4,"Od jakiego miasta, Bilbo zaczyna swoją opowieść pisaną dla Froda?",Od miasta Dale
4,Kto władał Ereborem w czasach jego potęgi przed atakiem smoka?,Thror
4,Co stanowiło bogactwo Ereboru?,Drogocenne kamienie i złoto
4,Jaką inną nazwę nosił Arcyklejnot Throra?,Serce Góry
4,Jaki największy skarb odnalazły krasnoludy w Ereborze?,Arcyklejnot
4,Jaki władca przybył oddać hołd Throrowi?,Thranduil
4,"Skąd pochodził smok, który zaatakował Erebor?",Z północy
4,"Jakie imię nosił smok, który zniszczył Dale?",Smaug
4,"Kto jako pierwszy trafnie stwierdza, że za atakiem na Erebor stoi smok?",Thorin
4,Jak nazywało się krasnoludzka warownia nieopodal miasta Dale?,Erebor
4,"Jak nazywało się dziecko, które w trakcie festynu zaatakowało Gandalfa?",Bilbo
4,Kto z zaproszonych nie potwierdził obecności na urodzinach Bilba?,Bagginsowie z Sackville
4,"Pod jakim warunkiem krewni Bilba z Sackville, stawiliby się na jego urodzinach?",Jeżeli ten zaprosiłby ich osobiście
4,"Przed jaką krewną, Bilbo zabezpieczał swój majątek?",Przed Lobelią Sackville-Baggins 
4,"Co w przeszłości chciała ukraść, z domu Bilba, Lobelia Sackville-Baggins?",Srebrne łyżeczki
4,"Jak nazywała się część Shire, w której Frodo zamierzał zaskoczyć przyjeżdzającego Gandalfa?",Wschodnia Ćwiartka
4,"Jakie są pierwsze słowa, które Bilbo kieruje w stronę Gandalfa, w czasie ich spotkania sześćdziesiąt lat przed jego opuszczeniem Shire?",Dzień dobry
4,Jakie imię nosiła matka Bilba?,Belladonna
4,Kogo w pierwszej rozmowię z młodym Bilbem wspomina Gandalf?,Matkę Bilba
4,O co bilbo pyta znajomego handlarza na targu  w Shire?,O to czy widział czarodzieja?
4,O co pyta Bilba Dwalin po wejściu do domu hobbita?,Gdzie jest kolacja?
4,Jaki krasnolud jako pierwszy zjawia się u Bilba w domu?,Dwalin
4,Jaki krasnolud jako drugi zjawia się u Bilba w domu?,Balin
4,Kto następny zjawia się w domu Bilba po Dwalinie i Balinie?,Fili i Kili
4,"Filiżankę czego, proponuje Gandalfowi jeden z krasnoludów w czasie kolacji u Bilba?",Rumianku
4,Jaki napój Gandalf wybiera w czasie kolacji w domu Bilba?,Czerwone wino
4,Gdzie matka Bilba kupiła stuletnią porcelanę używaną przez krasnoludy w czasie kolacji?,W Zachodniej Ćwiartce
4,Ilu nieproszonych gości zjawiło się wieczorem u Bilba w Bag End?,Czternastu
4,"Czym pochwalił się Bilbo odpowiadając na pytanie Torina o jego umiejętności walki, w czasie pierwszego spotkania?",Niezłym celowaniem z procy
4,"Który z krasnoludów odczytał znaki mówiące o tym, że już czas, aby krasnoludy ruszyły odbić Samotną Górę?",Oin
4,O jakich ptakach wracających na Samotną Górę wspominają krasnoludy  w Bag End?,O krukach
4,Jak nazywał się ojciec Thorina?,Thrain
4,Od kogo Gandalf otrzymał klucz do tajnego wejścia w Samotnej Górze?,Od Thraina
4,"Jak nazywano przodka Bilba, który potrafił dosiadać konia?",Bullroarem Tukiem
4,Jakiej dyscyplinę sportową zapoczątkował praprastryj Bilba w opowieści Gandalfa?,Grę w golfa
4,Czyja głowa trafiła do króliczej nory w czasie walki na Zielonych Polach?,Króla goblinów
4,Gdzie Thorin zapewnił ocalałym krasnoludom bezpieczne życie po utracie Ereboru?,W Górach Błękitnych
4,Podpisy jakich krasnoludów widniały na umowie Bilba?,Thorina i Balina
4,Z jakiego powodu Bilbo chcę wraz z kompanią wrócić się do Bag End?,Ponieważ zapomniał chusteczki
4,Którzy krasnoludowie żartowali sobie z Bilba strasząc go orkami w czasie ich pierwszego obozu?,Fili i Kili
4,Gdzie planował zamieszkać ze swym ludem Thror po upadku Ereboru?,W Morii
4,Skąd pochodził Azog?,Z Gundabadu
4,Kto zabił dziadka Thorina?,Azog 
4,"Gdzie Thorin stoczył walkę, w której użył dębowej tarczy?",Przed Morią
4,Jak Thorin ranił Azoga podczas ich pierwszego pojedynku?,Odciął mu lewe przedramie
4,"Ilu czarodziejów wskazuje Bilbowi Gandalf, gdy ten pyta go o to czy są inni?",Czterech
4,Jakie kolory posiadali w przydomkach czarodzieje w Śródziemiu?,"Biały, szary, bury, błękitny"
4,"Jakie imię nosił jeż, którego rannego odnajduje Radagast?",Sebastian
4,Kto miał pilnować kuców w czasie postoju kompanii przy zniszczonej chatce farmera?,Fili i Kili
4,Ile kuców ukradł krasnoludom trolle?,Cztery
4,Co piły trolle w ich obozowisku przy chacie farmera?,Grog
4,"Do kogo należała chata, obok której obóz rozbiły trolle?",Do farmera
4,Czym trolle chciały przyrządzić krasnoludy?,Szałwią
